ID_1,SR_ssp370,PD_ssp370,Pdses_ssp370,PE_ssp370,Res_PD_ssp370,EDGE_ssp370
18983,27,1929.660207,-2.992748021,0.278103353,-290.2549352,1.672700291
18984,6,372.588986,-6.846639134,0.045928871,-288.1341821,1.563862474
18985,2,650.100055,0.90533929,1.29743553,286.3658343,1.52750961
18986,31,2372.549299,-1.341675923,0.371706688,-144.3547906,1.720410848
18987,3,773.834292,0.687603311,0.082229001,335.8528345,1.792068374
18988,44,3428.571631,1.090894511,1.273110919,-53.54653781,1.807110719
18989,5,968.477746,0.452532344,0.101845873,382.0018148,2.071745984
18990,3,292.443095,-2.039422872,0.030915083,-145.5383625,1.683950197
18991,4,815.720393,-0.025265374,0.058909963,303.4916986,1.689548729
18992,14,1815.233555,1.260528129,0.215355291,560.532492,1.789510561
18993,39,2614.251686,-2.171410693,0.582991278,-496.6302985,1.728760714
18994,8,1121.440149,-0.826878901,0.157907924,312.2225072,1.847651271
18995,44,3488.734075,1.361357662,1.447189823,6.615906191,1.778067708
18996,7,414.293318,-7.93908223,0.047301311,-320.677087,1.752573486
18997,17,1404.787744,-3.41617392,0.195303374,-72.65502957,1.612209402
18999,3,112.61158,-2.945141751,0.033842334,-325.3698775,1.910400136
19000,26,1784.534689,-3.901365067,0.338702574,-361.1332163,1.594912902
19001,48,3862.066691,2.369157081,2.625082013,82.95957475,1.855213041
19002,32,2378.079498,-1.781985851,0.52701383,-213.0718285,1.745015839
19003,20,1973.166438,-0.481810188,0.38432596,272.9819539,1.873373956
19004,26,2352.706421,-0.161847299,0.38380946,207.0385157,1.82262653
19005,2,253.645516,-0.71995115,0.02677532,-110.0887047,1.802581947
19006,13,438.846937,-9.771335675,0.059108212,-741.6068891,1.556055997
19007,32,2430.062066,-1.253707787,0.392003056,-161.0892605,1.75868942
19008,25,1841.597242,-3.070494876,0.224445276,-229.8234265,1.658585372
19009,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
19010,8,1257.984959,0.59154365,0.134416363,448.7673172,1.806178386
19011,36,2626.955915,-1.627666035,0.445238094,-261.1843589,1.764409705
19012,50,4043.708329,2.807770948,2.101765329,116.106739,1.779441445
19013,7,347.63142,-9.100645201,0.041180531,-387.338985,1.443610858
19014,2,650.100056,0.996774891,0.04436767,286.3658353,1.928965909
19015,26,2319.350894,-0.38848869,0.418679714,173.6829887,1.817320507
19016,5,374.240416,-3.884194514,0.05014896,-212.2355152,1.875589302
19017,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
19018,2,650.100056,0.921393662,0.046566111,286.3658353,1.57625609
19019,1,5.03648,-0.742599278,0.016707505,-284.4505038,1.45844031
19021,33,2561.38003,-0.985137414,0.591346024,-104.0185333,1.754465549
19022,5,267.138263,-5.922589994,0.031043476,-319.3376682,1.441002581
19023,11,422.397293,-9.659667557,0.054695689,-609.5620594,1.574956994
