ID_1,SR_ssp585,PD_ssp585,Pdses_ssp585,Res_pd_ssp585,PE_ssp585,EDGE_ssp585
10654,8,1089.857618,-0.855212652,255.487317,0.159455017,1.675481158
10655,7,354.848796,-9.246391073,-405.4799161,0.040945784,1.54865278
10656,10,1433.467318,0.641723648,451.0138393,0.151166607,1.902459318
10657,12,1450.649789,-0.79619798,320.1131326,0.195409031,1.801225945
10658,38,2984.315877,0.048476878,-71.30208954,0.646275815,1.787591255
10659,1,5.03648,-0.712550744,-311.042699,0.016384349,2.151587491
10660,4,912.834999,0.729466152,374.6310534,0.088910896,1.686964248
10661,46,3643.952545,1.772463834,-3.998132357,1.391025301,1.801671806
10662,30,2217.616597,-2.068097331,-245.6686587,0.3493,1.686185674
10663,35,2723.29119,-0.645557753,-110.20201,0.470603536,1.762475598
10664,4,363.16179,-2.607317541,-175.0421556,0.037269552,1.629259775
10665,2,253.645516,-0.986201396,-136.4752519,0.025895346,1.799137094
10666,24,2383.825284,0.716763284,364.7895614,0.360599791,1.826742989
10667,1,5.03648,-0.742599278,-311.042699,0.016728599,1.45844031
10668,32,2213.289872,-2.899428874,-398.0785614,0.605238037,1.650358896
10669,16,584.555553,-9.885594366,-842.1474588,0.086437919,1.539998784
10671,8,354.730262,-10.79130065,-479.640039,0.04058544,1.444452047
10673,46,3655.368242,1.989438441,7.417564643,1.412398424,1.787244192
10674,1,1.424012,-0.671597605,-314.655167,0.0189169,1.446167853
10675,3,776.922813,0.673098227,312.7604563,0.059728482,1.704131321
10676,29,2492.600669,-0.235920533,103.3570021,0.453977562,1.820150677
10677,50,3920.420191,2.306773751,-23.69684176,2.066462967,1.853885743
10678,8,378.615565,-8.435010893,-455.754736,0.042598605,1.621731016
10679,4,360.263791,-2.599607774,-177.9401546,0.03702666,1.806731362
10680,2,253.645516,-0.71995115,-136.4752519,0.028111939,1.802581947
10681,1,5.03648,-0.742599278,-311.042699,0.016728599,1.45844031
10682,5,894.868795,-0.177734532,282.6232606,0.128245207,1.90811665
10683,4,815.720392,0.174611979,277.5164464,0.304295456,2.008984518
10684,22,1721.706588,-3.064449643,-149.2459569,0.211586703,1.711417989
10685,5,842.49266,-0.727164013,230.2471256,0.317899816,1.781040034
10686,10,1403.95066,0.407444615,421.4971813,0.16058677,1.905055591
10687,2,253.645516,-0.71995115,-136.4752519,0.028111939,1.802581947
